CP,LIBELLE,INSEE
"29802","BREST CEDEX 9","29061"
"29802","BREST CEDEX 9","29075"
"29803","BREST CEDEX 9","29019"
"29803","BREST CEDEX 9","29061"
"29803","BREST CEDEX 9","29075"
"29804","BREST CEDEX 9","29019"
"29804","BREST CEDEX 9","29061"
"29804","BREST CEDEX 9","29075"
"29806","BREST CEDEX 9","29019"
"29806","BREST CEDEX 9","29075"
"29808","BREST CEDEX 9","29019"
"29828","BREST CEDEX 9","29075"
"29833","CARHAIX PLOUGUER CEDEX","29024"
"29834","CARHAIX PLOUGUER CEDEX","29024"
"29835","CARHAIX PLOUGUER CEDEX","29024"
"29850","GOUESNOU","29061"
"29900","CONCARNEAU","29039"
"30000","NIMES","30189"
"30001","NIMES CEDEX 5","30189"
"30002","NIMES CEDEX 6","30189"
"30003","NIMES CEDEX 1","30189"
"30004","NIMES CEDEX 1","30189"
"30009","NIMES CEDEX 4","30189"
"30009","NIMES CEDEX 4","30309"
"30010","NIMES CEDEX 4","30189"
"30011","NIMES CEDEX 4","30189"
"30012","NIMES CEDEX 4","30189"
"30013","NIMES CEDEX 1","30189"
"30014","NIMES CEDEX 1","30189"
"30015","NIMES CEDEX 1","30189"
"30016","NIMES CEDEX 1","30189"
"30017","NIMES CEDEX 1","30189"
"30018","NIMES CEDEX 9","30189"
"30019","NIMES CEDEX 9","30189"
"30020","NIMES CEDEX 1","30189"
"30021","NIMES CEDEX 1","30189"
"30022","NIMES CEDEX 1","30189"
"30023","NIMES CEDEX 1","30189"
"30024","NIMES CEDEX 9","30189"
"30029","NIMES CEDEX 9","30189"
"30031","NIMES CEDEX 1","30189"
"30032","NIMES CEDEX 1","30189"
"30033","NIMES CEDEX 9","30189"
"30034","NIMES CEDEX 1","30189"
"30035","NIMES CEDEX 1","30189"
"30036","NIMES CEDEX 9","30189"
"30039","NIMES CEDEX 1","30189"
"30040","NIMES CEDEX 1","30189"
"30043","NIMES CEDEX 1","30189"
"30044","NIMES CEDEX 9","30189"
"30045","NIMES CEDEX 9","30189"
"30048","NIMES CEDEX 9","30189"
"30050","NIMES CEDEX 1","30189"
"30051","NIMES CEDEX 1","30189"
"30055","NIMES CEDEX 9","30189"
"30101","ALES CEDEX","30007"
"30101","ALES CEDEX","30294"
"30102","ALES CEDEX","30007"
"30102","ALES CEDEX","30294"
"30103","ALES CEDEX","30007"
"30104","ALES CEDEX","30007"
"30105","ALES CEDEX","30007"
"30106","ALES CEDEX","30007"
"30107","ALES CEDEX","30007"
"30109","ALES CEDEX","30007"
"30115","ALES CEDEX","30007"
"30123","LE VIGAN CEDEX","30024"
"30123","LE VIGAN CEDEX","30026"
"30123","LE VIGAN CEDEX","30170"
"30123","LE VIGAN CEDEX","30176"
"30123","LE VIGAN CEDEX","30350"
"30133","LES ANGLES","30011"
"30134","PONT ST ESPRIT CEDEX","30202"
"30200","CHUSCLAN","30081"
"30200","CODOLET","30084"
"30201","BAGNOLS SUR CEZE CEDEX","30028"
"30202","BAGNOLS SUR CEZE CEDEX","30028"
"30203","BAGNOLS SUR CEZE CEDEX","30028"
"30203","BAGNOLS SUR CEZE CEDEX","30081"
"30204","BAGNOLS SUR CEZE CEDEX","30028"
"30204","BAGNOLS SUR CEZE CEDEX","30084"
"30205","BAGNOLS SUR CEZE CEDEX","30028"
"30206","BAGNOLS SUR CEZE CEDEX","30028"
"30206","BAGNOLS SUR CEZE CEDEX","30081"
"30207","BAGNOLS SUR CEZE CEDEX","30028"
"30207","BAGNOLS SUR CEZE CEDEX","30081"
"30250","LECQUES","30144"
"30251","SOMMIERES CEDEX","30321"
"30252","SOMMIERES CEDEX","30321"
"30253","SOMMIERES CEDEX","30321"
"30255","SOMMIERES CEDEX","30019"
"30255","SOMMIERES CEDEX","30321"
"30300","BEAUCAIRE","30032"
"30301","BEAUCAIRE CEDEX","30032"
"30302","BEAUCAIRE CEDEX","30032"
"30311","ALES CEDEX","30007"
"30318","ALES CEDEX","30007"
"30319","ALES CEDEX","30007"
"30319","ALES CEDEX","30294"
"30319","ALES CEDEX","30305"
"30330","GAUJAC","30127"
"30330","LE PIN","30282"
"30330","ST ANDRE D OLERARGUES","30232"
"30330","ST PAUL LES FONTS","30355"
"30330","TRESQUES","30331"
"30402","VILLENEUVE LES AVIGNON CEDEX","30011"
"30404","VILLENEUVE LES AVIGNON CEDEX","30351"
"30406","VILLENEUVE LES AVIGNON CEDEX","30011"
"30700","UZES","30334"
"30701","UZES CEDEX","30014"
"30701","UZES CEDEX","30334"
"30702","UZES CEDEX","30334"
"30703","UZES CEDEX","30014"
"30703","UZES CEDEX","30308"
"30703","UZES CEDEX","30334"
"30900","NIMES","30189"
"30903","NIMES CEDEX 2","30189"
"30904","NIMES CEDEX 9","30189"
"30905","NIMES CEDEX 2","30189"
"30906","NIMES CEDEX 2","30189"
"30907","NIMES CEDEX 2","30189"
"30908","NIMES CEDEX 2","30189"
"30910","NIMES CEDEX 2","30189"
"30911","NIMES CEDEX 2","30189"
"30912","NIMES CEDEX 2","30189"
"30913","NIMES CEDEX 2","30189"
"30914","NIMES CEDEX 2","30189"
"30915","NIMES CEDEX 2","30189"
"30918"," NIMES CEDEX 2","30189"
"30918","NIMES CEDEX 2","30189"
"30921","NIMES CEDEX 9","30189"
"30922","NIMES CEDEX 9","30189"
"30931","NIMES CEDEX 9","30189"
"30932","NIMES CEDEX 9","30128"
"30932","NIMES CEDEX 9","30189"
"30936","NIMES CEDEX 9","30189"
"30937","NIMES CEDEX 9","30189"
"30941","NIMES CEDEX 9","30189"
"30942","NIMES CEDEX 9","30060"
"30942","NIMES CEDEX 9","30189"
"30943","NIMES CEDEX 9","30189"
"30947","NIMES CEDEX 9","30189"
"30969","NIMES CEDEX 9","30060"
"30969","NIMES CEDEX 9","30189"
"30971","NIMES CEDEX 9","30189"
"30972","NIMES CEDEX 9","30189"
"31000","TOULOUSE","31555"
"31001","TOULOUSE CEDEX 6","31555"
"31002","TOULOUSE CEDEX 6","31555"
"31003","TOULOUSE CEDEX 6","31555"
"31004","TOULOUSE CEDEX 6","31555"
"31005","TOULOUSE CEDEX 6","31555"
"31006","TOULOUSE CEDEX 6","31555"
"31007","TOULOUSE CEDEX 6","31555"
"31008","TOULOUSE CEDEX 6","31555"
"31009","TOULOUSE CEDEX 6","31555"
"31010","TOULOUSE CEDEX 6","31555"
"31011","TOULOUSE CEDEX 6","31555"
"31012","TOULOUSE CEDEX 6","31555"
"31013","TOULOUSE CEDEX 6","31555"
"31014","TOULOUSE CEDEX 6","31555"
"31015","TOULOUSE CEDEX 6","31555"
"31016","TOULOUSE CEDEX 2","31555"
"31017","TOULOUSE CEDEX 2","31555"
"31018","TOULOUSE CEDEX 2","31555"
"31019","TOULOUSE CEDEX 2","31555"
"31020","TOULOUSE CEDEX 2","31555"
"31021","TOULOUSE CEDEX 2","31555"
"31022","TOULOUSE CEDEX 2","31555"
"31023","TOULOUSE CEDEX 1","31555"
"31024","TOULOUSE CEDEX 3","31555"
"31025","TOULOUSE CEDEX 3","31555"
"31026","TOULOUSE CEDEX 3","31555"
"31027","TOULOUSE CEDEX 3","31555"
"31028","TOULOUSE CEDEX 4","31555"
"31029","TOULOUSE CEDEX 4","31555"
"31030","TOULOUSE CEDEX 4","31555"
"31031","TOULOUSE CEDEX 4","31555"
"31032","TOULOUSE CEDEX 5","31555"
"31033","TOULOUSE CEDEX 5","31555"
"31035","TOULOUSE CEDEX 1","31555"
"31036","TOULOUSE CEDEX 1","31555"
"31037","TOULOUSE CEDEX 1","31555"
"31038","TOULOUSE CEDEX 9","31555"
"31039","TOULOUSE CEDEX 9","31555"
"31040","TOULOUSE CEDEX 6","31555"
"31042","TOULOUSE CEDEX 9","31555"
"31046","TOULOUSE CEDEX 9","31555"
"31047","TOULOUSE CEDEX 1","31555"
"31049","TOULOUSE CEDEX 9","31555"
"31050","TOULOUSE CEDEX 9","31555"
"31051","TOULOUSE CEDEX 9","31555"
"31052","TOULOUSE CEDEX 3","31555"
"31054","TOULOUSE CEDEX 4","31555"
"31055","TOULOUSE CEDEX 4","31555"
"31056","TOULOUSE CEDEX 5","31555"
"31057","TOULOUSE CEDEX 1","31555"
"31058","TOULOUSE CEDEX 9","31555"
"31059","TOULOUSE CEDEX 9","31555"
"31060","TOULOUSE CEDEX 9","31555"
"31061","TOULOUSE CEDEX 9","31254"
"31062","TOULOUSE CEDEX 9","31555"
"31063","TOULOUSE CEDEX 9","31555"
"31064","TOULOUSE CEDEX 9","31555"
"31065","TOULOUSE CEDEX 9","31555"
"31066","TOULOUSE CEDEX 6","31555"
"31068","TOULOUSE CEDEX 7","31555"
"31069","TOULOUSE CEDEX 7","31555"
"31070","TOULOUSE CEDEX 7","31555"
"31071","TOULOUSE CEDEX 7","31069"
"31071","TOULOUSE CEDEX 7","31555"
"31072","TOULOUSE CEDEX 7","31555"
"31073","TOULOUSE CEDEX 7","31555"
"31074","TOULOUSE CEDEX 9","31555"
"31075","TOULOUSE CEDEX 2","31555"
"31076","TOULOUSE CEDEX 3","31555"
"31077","TOULOUSE CEDEX 4","31555"
"31078","TOULOUSE CEDEX 4","31555"
"31079","TOULOUSE CEDEX 5","31555"
"31080","TOULOUSE CEDEX 6","31555"
"31081","TOULOUSE CEDEX 1","31555"
"31082","TOULOUSE CEDEX 1","31555"
"31084","TOULOUSE CEDEX 1","31555"
"31085","TOULOUSE CEDEX 2","31555"
"31086","TOULOUSE CEDEX 2","31555"
"31089","TOULOUSE CEDEX 9","31555"
"31090","TOULOUSE CEDEX 9","31555"
"31091","TOULOUSE CEDEX 6","31555"
"31093","TOULOUSE CEDEX 9","31555"
"31094","TOULOUSE CEDEX 1","31433"
"31094","TOULOUSE CEDEX 1","31555"
"31095","TOULOUSE CEDEX 9","31555"
"31096","TOULOUSE CEDEX 1","31555"
"31098","TOULOUSE CEDEX 6","31555"
"31100","TOULOUSE","31555"
"31103","TOULOUSE CEDEX 1","31555"
"31104","TOULOUSE CEDEX 1","31555"
"31106","TOULOUSE CEDEX 1","31555"
"31109","TOULOUSE CEDEX 9","31042"
"31120","PINSAGUEL","31420"
"31121","PORTET SUR GARONNE CEDEX","31259"
"31121","PORTET SUR GARONNE CEDEX","31420"
"31121","PORTET SUR GARONNE CEDEX","31433"
"31122","PORTET SUR GARONNE CEDEX","31433"
"31123","PORTET SUR GARONNE CEDEX","31433"
"31124","PORTET SUR GARONNE CEDEX","31248"
"31124","PORTET SUR GARONNE CEDEX","31433"
"31127","PORTET SUR GARONNE CEDEX","31433"
"31128","PORTET SUR GARONNE CEDEX","31433"
"31131","BALMA CEDEX","31044"
"31131","BALMA CEDEX","31184"
"31131","BALMA CEDEX","31445"
"31132","BALMA CEDEX","31044"
"31132","BALMA CEDEX","31184"
"31132","BALMA CEDEX","31418"
"31132","BALMA CEDEX","31445"
"31133","BALMA CEDEX","31044"
"31133","BALMA CEDEX","31445"
"31134","BALMA CEDEX","31445"
"31135","BALMA CEDEX","31044"
"31138","BALMA CEDEX","31044"
"31140","FONBEAUZARD","31555"
"31141","ST ALBAN CEDEX","31282"
"31141","ST ALBAN CEDEX","31467"
"31142","ST ALBAN CEDEX","31022"
"31142","ST ALBAN CEDEX","31116"
"31142","ST ALBAN CEDEX","31282"
"31142","ST ALBAN CEDEX","31467"
"31151","FENOUILLET CEDEX","31091"
"31151","FENOUILLET CEDEX","31182"
"31151","FENOUILLET CEDEX","31205"
"31151","FENOUILLET CEDEX","31293"
"31152","FENOUILLET CEDEX","31091"
"31152","FENOUILLET CEDEX","31182"
"31152","FENOUILLET CEDEX","31293"
"31180","CASTELMAUROU","31117"
"31180","ROUFFIAC TOLOSAN","31462"
"31200","TOULOUSE","31555"
"31201","TOULOUSE CEDEX 2","31555"
"31202","TOULOUSE CEDEX 2","31555"
"31203","TOULOUSE CEDEX 2","31555"
"31204","TOULOUSE CEDEX 2","31555"
"31205","TOULOUSE CEDEX 2","31555"
"31240","L UNION","31561"
"31241","L UNION CEDEX","31488"
"31241","L UNION CEDEX","31561"
"31242","L UNION CEDEX","31488"
"31242","L UNION CEDEX","31561"
"31243","L UNION CEDEX","31561"
"31300","TOULOUSE","31555"
"31311","LABEGE CEDEX","31254"
"31312","LABEGE CEDEX","31254"
"31313","LABEGE CEDEX","31254"
"31314","LABEGE CEDEX","31254"
"31319","LABEGE CEDEX","31254"
"31320","AUZEVILLE TOLOSANE","31035"
"31321","CASTANET TOLOSAN CEDEX","31035"
"31321","CASTANET TOLOSAN CEDEX","31113"
"31322","CASTANET TOLOSAN CEDEX","31035"
"31322","CASTANET TOLOSAN CEDEX","31113"
"31322","CASTANET TOLOSAN CEDEX","31578"
"31325","CASTANET TOLOSAN CEDEX","31113"
"31326","CASTANET TOLOSAN CEDEX","31035"
"31326","CASTANET TOLOSAN CEDEX","31113"
"31400","TOULOUSE","31555"
"31402","TOULOUSE CEDEX 4","31555"
"31403","TOULOUSE CEDEX 9","31555"
"31404","TOULOUSE CEDEX 4","31555"
"31405","TOULOUSE CEDEX 4","31555"
"31406","TOULOUSE CEDEX 9","31555"
"31432","TOULOUSE CEDEX 4","31555"
"31500","TOULOUSE","31555"
"31502","TOULOUSE CEDEX 5","31555"
"31504","TOULOUSE CEDEX 5","31555"
"31505","TOULOUSE CEDEX 5","31555"
"31506","TOULOUSE CEDEX 5","31555"
"31507","TOULOUSE CEDEX 5","31555"
"31512","TOULOUSE CEDEX 5","31555"
"31520","RAMONVILLE ST AGNE","31446"
"31521","RAMONVILLE ST AGNE CEDEX","31446"
"31522","RAMONVILLE ST AGNE CEDEX","31446"
"31526","RAMONVILLE ST AGNE CEDEX","31446"
"31527","RAMONVILLE ST AGNE CEDEX","31446"
"31600","MURET","31395"
"31601","MURET CEDEX","31395"
"31602","MURET CEDEX","31395"
"31603","MURET CEDEX","31395"
"31603","MURET CEDEX","31547"
"31604","MURET CEDEX","31395"
"31605","MURET CEDEX","31395"
"31605","MURET CEDEX","31547"
"31607","MURET CEDEX","31395"
"31620","CASTELNAU D ESTRETEFONDS","31118"
"31620","VILLENEUVE LES BOULOC","31587"
"31621","EUROCENTRE CEDEX","31118"
"31621","EUROCENTRE CEDEX","31587"
"31670","LABEGE","31254"
"31671","LABEGE CEDEX","31169"
"31671","LABEGE CEDEX","31249"
"31671","LABEGE CEDEX","31254"
"31671","LABEGE CEDEX","31284"
"31671","LABEGE CEDEX","31506"
"31672","LABEGE CEDEX","31254"
"31673","LABEGE CEDEX","31254"
"31674","LABEGE CEDEX","31254"
"31675","LABEGE CEDEX","31254"
"31676","LABEGE CEDEX","31169"
"31676","LABEGE CEDEX","31254"
"31676","LABEGE CEDEX","31506"
"31677","LABEGE CEDEX","31254"
"31678","LABEGE CEDEX","31254"
"31681","LABEGE CEDEX","31254"
"31682","LABEGE CEDEX","31254"
"31683","LABEGE CEDEX","31254"
"31685","TOULOUSE CEDEX 6","31555"
"31692","LABEGE CEDEX","31254"
"31700","BLAGNAC","31069"
"31700","DAUX","31160"
"31701","BLAGNAC CEDEX","31069"
"31702","BLAGNAC CEDEX","31056"
"31702","BLAGNAC CEDEX","31069"
"31703","BLAGNAC CEDEX","31056"
"31703","BLAGNAC CEDEX","31069"
"31703","BLAGNAC CEDEX","31150"
"31703","BLAGNAC CEDEX","31555"
"31704","BLAGNAC CEDEX","31069"
"31704","BLAGNAC CEDEX","31150"
"31705","BLAGNAC CEDEX","31069"
"31705","BLAGNAC CEDEX","31150"
"31706","BLAGNAC CEDEX","31069"
"31712","BLAGNAC CEDEX","31069"
"31715","BLAGNAC CEDEX","31069"
"31716","BLAGNAC CEDEX","31069"
"31770","COLOMIERS","31149"
"31771","COLOMIERS CEDEX","31149"
"31772","COLOMIERS CEDEX","31149"
"31773","COLOMIERS CEDEX","31149"
"31774","COLOMIERS CEDEX","31149"
"31776","COLOMIERS CEDEX","31149"
"31777","COLOMIERS CEDEX","31149"
"31800","ST GAUDENS","31483"
"31801","ST GAUDENS CEDEX","31483"
"31801","ST GAUDENS CEDEX","31585"
"31802","ST GAUDENS CEDEX","31483"
"31802","ST GAUDENS CEDEX","31565"
"31803","ST GAUDENS CEDEX","31483"
"31804","ST GAUDENS CEDEX","31483"
"31806","ST GAUDENS CEDEX","31021"
"31806","ST GAUDENS CEDEX","31483"
"31820","PIBRAC","31417"
"31831","PLAISANCE DU TOUCH CEDEX","31424"
"31832","PLAISANCE DU TOUCH CEDEX","31291"
"31901","TOULOUSE CEDEX 6","31555"
"31903","TOULOUSE CEDEX 6","31555"
"31908","TOULOUSE CEDEX 9","31555"
"31911","TOULOUSE CEDEX 9","31555"
"31914","TOULOUSE CEDEX 9","31555"
"31921","TOULOUSE CEDEX 9","31555"
"31931","TOULOUSE CEDEX 9","31555"
"31950","TOULOUSE CEDEX 9","31555"
"32000","AUCH","32013"
"32001","AUCH CEDEX","32013"
"32002","AUCH CEDEX","32013"
"32003","AUCH CEDEX","32013"
"32003","AUCH CEDEX","32307"
"32004","AUCH CEDEX","32013"
"32005","AUCH CEDEX","32013"
"32007","AUCH CEDEX","32013"
"32008","AUCH CEDEX","32013"
"32009","AUCH CEDEX","32013"
"32010","AUCH CEDEX","32013"
"32011","AUCH CEDEX","32013"
"32012","AUCH CEDEX","32013"
"32013","AUCH CEDEX","32013"
"32014","AUCH CEDEX","32013"
"32018","AUCH CEDEX 9","32013"
"32020","AUCH CEDEX 9","32013"
"32021","AUCH CEDEX 9","32013"
"32022","AUCH CEDEX 9","32013"
"32201","GIMONT CEDEX","32147"
"32201","GIMONT CEDEX","32148"
"32201","GIMONT CEDEX","32288"
"32201","GIMONT CEDEX","32467"
"32300","SAINT MEDARD","32394"
"32501","FLEURANCE CEDEX","32132"
"32501","FLEURANCE CEDEX","32405"
"32501","FLEURANCE CEDEX","32417"
"32502","FLEURANCE CEDEX","32132"
"33000","BORDEAUX","33063"
"33001","BORDEAUX CEDEX","33063"
"33002","BORDEAUX CEDEX","33063"
"33005","BORDEAUX CEDEX","33063"
"33006","BORDEAUX CEDEX","33063"
"33007","BORDEAUX CEDEX","33063"
"33008","BORDEAUX CEDEX","33063"
"33009","BORDEAUX CEDEX","33063"
"33010","BORDEAUX CEDEX","33063"
"33012","BORDEAUX CEDEX","33063"
"33015","BORDEAUX CEDEX","33063"
"33019","BORDEAUX CEDEX","33063"
"33020","BORDEAUX CEDEX","33063"
"33021","BORDEAUX CEDEX","33063"
"33023","BORDEAUX CEDEX","33063"
"33024","BORDEAUX CEDEX","33063"
"33025","BORDEAUX CEDEX","33063"
"33026","BORDEAUX CEDEX","33063"
"33027","BORDEAUX CEDEX","33063"
"33028","BORDEAUX CEDEX","33063"
"33029","BORDEAUX CEDEX","33063"
"33030","BORDEAUX CEDEX","33063"
"33031","BORDEAUX CEDEX","33063"
"33032","BORDEAUX CEDEX","33063"
"33034","BORDEAUX CEDEX","33063"
"33035","BORDEAUX CEDEX","33063"
"33036","BORDEAUX CEDEX","33063"
"33037","BORDEAUX CEDEX","33063"
"33038","BORDEAUX CEDEX","33063"
"33041","BORDEAUX CEDEX","33063"
"33042","BORDEAUX CEDEX","33063"
"33045","BORDEAUX CEDEX","33063"
"33046","BORDEAUX CEDEX","33063"
"33048","BORDEAUX CEDEX","33063"
"33049","BORDEAUX CEDEX","33063"
"33049","BORDEAUX CEDEX","33075"
"33050","BORDEAUX CEDEX","33063"
"33052","BORDEAUX CEDEX","33063"
"33053","BORDEAUX CEDEX","33063"
"33054","BORDEAUX CEDEX","33063"
"33056","BORDEAUX CEDEX","33063"
"33057","BORDEAUX CEDEX","33063"
"33058","BORDEAUX CEDEX","33063"
"33059","BORDEAUX CEDEX","33063"
"33060","BORDEAUX CEDEX","33063"
"33061","BORDEAUX CEDEX","33063"
"33062","BORDEAUX CEDEX","33063"
"33063","BORDEAUX CEDEX","33063"
"33064","BORDEAUX CEDEX","33063"
"33065","BORDEAUX CEDEX","33063"
"33067","BORDEAUX CEDEX","33063"
"33068","BORDEAUX CEDEX","33063"
"33070","BORDEAUX CEDEX","33063"
"33071","BORDEAUX CEDEX","33063"
"33072","BORDEAUX CEDEX","33063"
"33073","BORDEAUX CEDEX","33063"
"33074","BORDEAUX CEDEX","33063"
"33075","BORDEAUX CEDEX","33063"
"33076","BORDEAUX CEDEX","33063"
"33077","BORDEAUX CEDEX","33063"
"33078","BORDEAUX CEDEX","33063"
"33079","BORDEAUX CEDEX","33063"
"33080","BORDEAUX CEDEX","33063"
"33080","BORDEAUX CEDEX","33318"
"33081","BORDEAUX CEDEX","33063"
"33081","BORDEAUX CEDEX","33075"
"33082","BORDEAUX CEDEX","33063"
"33083","BORDEAUX CEDEX","33063"
"33084","BORDEAUX CEDEX","33063"
"33084","BORDEAUX CEDEX","33075"
"33085","BORDEAUX CEDEX","33063"
"33086","BORDEAUX CEDEX","33063"
"33087","BORDEAUX CEDEX","33063"
"33090","BORDEAUX CEDEX","33063"
"33092","BORDEAUX CEDEX","33063"
"33096","BORDEAUX CEDEX","33063"
"33100","BORDEAUX","33063"
"33116","LE BARP CEDEX","33029"
"33127","MARTIGNAS SUR JALLE","33273"
"33140","VILLENAVE D ORNON","33550"
"33150","CENON","33119"
"33151","CENON CEDEX","33119"
"33152","CENON CEDEX","33119"
"33153","CENON CEDEX","33119"
"33155","CENON CEDEX","33119"
"33160","ST AUBIN DE MEDOC","33376"
"33164","LA TESTE CEDEX","33529"
"33165","ST MEDARD EN JALLES CEDEX","33449"
"33166","ST MEDARD EN JALLES CEDEX","33200"
"33166","ST MEDARD EN JALLES CEDEX","33376"
"33166","ST MEDARD EN JALLES CEDEX","33449"
"33167","ST MEDARD EN JALLES CEDEX","33449"
"33171","GRADIGNAN CEDEX","33192"
"33173","GRADIGNAN CEDEX","33192"
"33174","GRADIGNAN CEDEX","33192"
"33175","GRADIGNAN CEDEX","33192"
"33186","LE HAILLAN CEDEX","33200"
"33187","LE HAILLAN CEDEX","33200"
"33191","LA REOLE CEDEX","33352"
"33192","LA REOLE CEDEX","33170"
"33192","LA REOLE CEDEX","33352"
"33210","MAZERES","33279"
"33211","LANGON CEDEX","33227"
"33211","LANGON CEDEX","33533"
"33212","LANGON CEDEX","33227"
"33212","LANGON CEDEX","33279"
"33212","LANGON CEDEX","33343"
"33212","LANGON CEDEX","33357"
"33212","LANGON CEDEX","33432"
"33212","LANGON CEDEX","33438"
"33212","LANGON CEDEX","33533"
"33213","LANGON CEDEX","33227"
"33213","LANGON CEDEX","33533"
"33240","ST ANDRE DE CUBZAC","33366"
"33271","FLOIRAC CEDEX","33167"
"33272","FLOIRAC CEDEX","33065"
"33272","FLOIRAC CEDEX","33167"
"33274","FLOIRAC CEDEX","33167"
"33291","BLANQUEFORT CEDEX","33056"
"33292","BLANQUEFORT CEDEX","33056"
"33293","BLANQUEFORT CEDEX","33056"
"33294","BLANQUEFORT CEDEX","33056"
"33294","BLANQUEFORT CEDEX","33256"
"33294","BLANQUEFORT CEDEX","33322"
"33295","BLANQUEFORT CEDEX","33056"
"33300","BORDEAUX","33063"
"33305","LORMONT CEDEX","33249"
"33306","LORMONT CEDEX","33249"
"33310","LORMONT","33249"
"33311","ARCACHON CEDEX","33009"
"33312","ARCACHON CEDEX","33009"
"33313","ARCACHON CEDEX","33009"
"33314","ARCACHON CEDEX","33009"
"33314","ARCACHON CEDEX","33529"
"33321","BEGLES CEDEX","33039"
"33322","BEGLES CEDEX","33039"
"33323","BEGLES CEDEX","33039"
"33324","BEGLES CEDEX","33039"
"33326","EYSINES CEDEX","33162"
"33327","EYSINES CEDEX","33162"
"33327","EYSINES CEDEX","33519"
"33341","LESPARRE MEDOC CEDEX","33177"
"33341","LESPARRE MEDOC CEDEX","33240"
"33341","LESPARRE MEDOC CEDEX","33412"
"33391","BLAYE CEDEX","33058"
"33391","BLAYE CEDEX","33441"
"33392","BLAYE CEDEX","33058"
"33393","BLAYE CEDEX","33058"
"33394","BLAYE CEDEX","33058"
"33394","BLAYE CEDEX","33280"
"33394","BLAYE CEDEX","33477"
"33395","BLAYE CEDEX","33058"
"33401","TALENCE CEDEX","33063"
"33401","TALENCE CEDEX","33318"
"33401","TALENCE CEDEX","33522"
"33402","TALENCE CEDEX","33318"
"33402","TALENCE CEDEX","33522"
"33403","TALENCE CEDEX","33522"
"33404","TALENCE CEDEX","33522"
"33405","TALENCE CEDEX","33318"
"33405","TALENCE CEDEX","33522"
"33450","ST LOUBES","33433"
"33451","ST LOUBES CEDEX","33433"
"33451","ST LOUBES CEDEX","33483"
"33452","ST LOUBES CEDEX","33433"
"33491","LE BOUSCAT CEDEX","33069"
"33492","LE BOUSCAT CEDEX","33069"
"33500","ARVEYRES","33063"
"33500","LALANDE DE POMEROL","33222"
"33500","LIBOURNE","33243"
"33501","LIBOURNE CEDEX","33243"
"33502","LIBOURNE CEDEX","33243"
"33503","LIBOURNE CEDEX","33243"
"33504","LIBOURNE CEDEX","33243"
"33505","LIBOURNE CEDEX","33243"
"33505","LIBOURNE CEDEX","33451"
"33506","LIBOURNE CEDEX","33174"
"33506","LIBOURNE CEDEX","33243"
"33520","BRUGES","33075"
"33521","BRUGES CEDEX","33063"
"33521","BRUGES CEDEX","33075"
"33522","BRUGES CEDEX","33075"
"33523","BRUGES CEDEX","33075"
"33525","BRUGES CEDEX","33063"
"33525","BRUGES CEDEX","33075"
"33561","CARBON BLANC CEDEX","33003"
"33561","CARBON BLANC CEDEX","33434"
"33563","CARBON BLANC CEDEX","33032"
"33564","CARBON BLANC CEDEX","33096"
"33565","CARBON BLANC CEDEX","33003"
"33565","CARBON BLANC CEDEX","33032"
"33565","CARBON BLANC CEDEX","33096"
"33600","PESSAC","33318"
"33601","PESSAC CEDEX","33318"
"33602","PESSAC CEDEX","33318"
"33603","PESSAC CEDEX","33090"
"33603","PESSAC CEDEX","33318"
"33604","PESSAC CEDEX","33318"
"33605","PESSAC CEDEX","33318"
"33606","PESSAC CEDEX","33318"
"33607","PESSAC CEDEX","33063"
"33607","PESSAC CEDEX","33318"
"33607","PESSAC CEDEX","33522"
"33608","PESSAC CEDEX","33318"
"33609","PESSAC CEDEX","33318"
"33610","CESTAS","33122"
"33611","CESTAS CEDEX","33122"
"33612","CESTAS CEDEX","33090"
"33612","CESTAS CEDEX","33122"
"33615","PESSAC CEDEX","33318"
"33625","BORDEAUX CEDEX 9","33200"
"33652","LA BREDE CEDEX","33213"
"33652","LA BREDE CEDEX","33274"
"33652","LA BREDE CEDEX","33448"
"33652","LA BREDE CEDEX","33474"
"33691","MERIGNAC CEDEX","33281"
"33692","MERIGNAC CEDEX","33281"
"33693","MERIGNAC CEDEX","33281"
"33694","MERIGNAC CEDEX","33281"
"33695","MERIGNAC CEDEX","33281"
"33696","BORDEAUX CEDEX 9","33281"
"33697","MERIGNAC CEDEX","33281"
"33698","MERIGNAC CEDEX","33281"
"33700","MERIGNAC","33281"
"33701","MERIGNAC CEDEX","33281"
"33702","MERIGNAC CEDEX","33281"
"33702","MERIGNAC CEDEX","33449"
"33703","MERIGNAC CEDEX","33281"
"33704","MERIGNAC CEDEX","33281"
"33705","MERIGNAC CEDEX","33281"
"33706","MERIGNAC CEDEX","33281"
"33707","MERIGNAC CEDEX","33281"
"33708","MERIGNAC CEDEX","33281"
"33882","VILLENAVE D ORNON CEDEX","33080"
"33882","VILLENAVE D ORNON CEDEX","33550"
"33883","VILLENAVE D ORNON CEDEX","33550"
"33884","VILLENAVE D ORNON CEDEX","33550"
"33885","VILLENAVE D ORNON CEDEX","33550"
"33886","VILLENAVE D ORNON CEDEX","33550"
"33887","VILLENAVE D ORNON CEDEX","33080"
"33950","LEGE CAP FERRET","33236"
"33998","BORDEAUX CEDEX","33063"
"33998","BORDEAUX CEDEX","33281"
"34000","MONTPELLIER","34172"
