CP,LIBELLE,INSEE
"02010","LAON CEDEX 9","02408"
"02011","LAON CEDEX","02408"
"02012","LAON CEDEX","02408"
"02013","LAON CEDEX 9","02408"
"02015","LAON CEDEX","02231"
"02015","LAON CEDEX","02408"
"02016","LAON CEDEX 9","02408"
"02017","LAON CEDEX","02408"
"02018","LAON CEDEX 9","02408"
"02020","LAON CEDEX 9","02408"
"02025","LAON CEDEX 9","02408"
"02101","ST QUENTIN CEDEX","02387"
"02101","ST QUENTIN CEDEX","02691"
"02102","ST QUENTIN CEDEX","02691"
"02103","ST QUENTIN CEDEX","02691"
"02104","ST QUENTIN CEDEX","02691"
"02105","ST QUENTIN CEDEX","02691"
"02106","ST QUENTIN CEDEX","02691"
"02107","ST QUENTIN CEDEX","02525"
"02107","ST QUENTIN CEDEX","02691"
"02108","ST QUENTIN CEDEX","02691"
"02109","ST QUENTIN CEDEX","02691"
"02151","SISSONNE CEDEX","02720"
"02201","SOISSONS CEDEX","02722"
"02202","SOISSONS CEDEX","02722"
"02202","SOISSONS CEDEX","02805"
"02203","SOISSONS CEDEX","02722"
"02204","SOISSONS CEDEX","02089"
"02204","SOISSONS CEDEX","02245"
"02204","SOISSONS CEDEX","02722"
"02204","SOISSONS CEDEX","02805"
"02205","SOISSONS CEDEX","02243"
"02205","SOISSONS CEDEX","02722"
"02205","SOISSONS CEDEX","02805"
"02205","SOISSONS CEDEX","02828"
"02206","SOISSONS CEDEX","02243"
"02206","SOISSONS CEDEX","02722"
"02207","SOISSONS CEDEX","02003"
"02207","SOISSONS CEDEX","02564"
"02207","SOISSONS CEDEX","02722"
"02207","SOISSONS CEDEX","02805"
"02208","SOISSONS CEDEX","02064"
"02208","SOISSONS CEDEX","02722"
"02209","SOISSONS CEDEX","02722"
"02301","CHAUNY CEDEX","02173"
"02301","CHAUNY CEDEX","02820"
"02302","CHAUNY CEDEX","02173"
"02302","CHAUNY CEDEX","02820"
"02303","CHAUNY CEDEX","02173"
"02304","CHAUNY CEDEX","02173"
"02313","ST QUENTIN CEDEX","02691"
"02314","ST QUENTIN CEDEX","02691"
"02315","ST QUENTIN CEDEX","02691"
"02321","ST QUENTIN CEDEX","02340"
"02321","ST QUENTIN CEDEX","02691"
"02322","ST QUENTIN CEDEX","02659"
"02322","ST QUENTIN CEDEX","02691"
"02331","SOISSONS CEDEX","02722"
"02401","CHATEAU THIERRY CEDEX","02168"
"02402","CHATEAU THIERRY CEDEX","02114"
"02402","CHATEAU THIERRY CEDEX","02168"
"02403","CHATEAU THIERRY CEDEX","02347"
"02404","CHATEAU THIERRY CEDEX","02168"
"02405","CHATEAU THIERRY CEDEX","02168"
"02405","CHATEAU THIERRY CEDEX","02290"
"02406","CHATEAU THIERRY CEDEX","02105"
"02406","CHATEAU THIERRY CEDEX","02168"
"02406","CHATEAU THIERRY CEDEX","02292"
"02407","CHATEAU THIERRY CEDEX","02168"
"02407","CHATEAU THIERRY CEDEX","02187"
"02602","VILLERS COTTERETS CEDEX","02810"
"02603","VILLERS COTTERETS CEDEX","02810"
"02604","VILLERS COTTERETS CEDEX","02810"
"02930","LAON CEDEX 9","02046"
"02930","LAON CEDEX 9","02157"
"02930","LAON CEDEX 9","02408"
"03000","MOULINS","03190"
"03000","NEUVY","03200"
"03003","MOULINS CEDEX","03190"
"03004","MOULINS CEDEX","03190"
"03005","MOULINS CEDEX","03011"
"03005","MOULINS CEDEX","03190"
"03006","MOULINS CEDEX","03190"
"03007","MOULINS CEDEX","03190"
"03008","MOULINS CEDEX","03190"
"03011","MOULINS CEDEX","03190"
"03012","MOULINS CEDEX","03190"
"03016","MOULINS CEDEX","03190"
"03017","MOULINS CEDEX","03190"
"03017","MOULINS CEDEX","03200"
"03018","MOULINS CEDEX","03190"
"03101","MONTLUCON CEDEX","03185"
"03102","MONTLUCON CEDEX","03185"
"03103","MONTLUCON CEDEX","03185"
"03104","MONTLUCON CEDEX","03185"
"03105","MONTLUCON CEDEX","03185"
"03106","MONTLUCON CEDEX","03098"
"03106","MONTLUCON CEDEX","03185"
"03107","MONTLUCON CEDEX","03185"
"03107","MONTLUCON CEDEX","03211"
"03108","MONTLUCON CEDEX","03185"
"03109","MONTLUCON CEDEX","03098"
"03109","MONTLUCON CEDEX","03185"
"03110","CHARMEIL","03060"
"03201","VICHY CEDEX","03310"
"03202","VICHY CEDEX","03023"
"03202","VICHY CEDEX","03310"
"03203","VICHY CEDEX","03310"
"03204","VICHY CEDEX","03310"
"03205","VICHY CEDEX","03310"
"03206","VICHY CEDEX","03023"
"03206","VICHY CEDEX","03310"
"03207","VICHY CEDEX","03310"
"03208","VICHY CEDEX","03310"
"03209","VICHY CEDEX","03310"
"03301","CUSSET CEDEX","03095"
"03302","CUSSET CEDEX","03094"
"03302","CUSSET CEDEX","03095"
"03303","CUSSET CEDEX","03095"
"03304","CUSSET CEDEX","03095"
"03305","CUSSET CEDEX","03095"
"03306","CUSSET CEDEX","03095"
"03307","CUSSET CEDEX","03095"
"03311","MONTLUCON CEDEX","03185"
"03317","MONTLUCON CEDEX","03185"
"03321","VICHY CEDEX","03023"
"03321","VICHY CEDEX","03095"
"03380","HURIEL","03128"
"03401","YZEURE CEDEX","03321"
"03402","YZEURE CEDEX","03286"
"03402","YZEURE CEDEX","03321"
"03403","YZEURE CEDEX","03321"
"03405","YZEURE CEDEX","03321"
"03630","DESERTINES","03098"
"04000","DIGNE LES BAINS","04070"
"04001","DIGNE LES BAINS CEDEX","04070"
"04001","DIGNE-LES-BAINS CEDEX","04070"
"04002","DIGNE LES BAINS CEDEX","04070"
"04003","DIGNE LES BAINS CEDEX","04070"
"04004","DIGNE LES BAINS CEDEX","04070"
"04005","DIGNE LES BAINS CEDEX","04070"
"04007","DIGNE LES BAINS CEDEX","04070"
"04008","DIGNE LES BAINS CEDEX","04070"
"04010","DIGNE LES BAINS CEDEX","04070"
"04011","DIGNE LES BAINS CEDEX","04070"
"04012","DIGNE LES BAINS CEDEX","04070"
"04013","DIGNE LES BAINS CEDEX","04070"
"04014","DIGNE LES BAINS CEDEX","04070"
"04015","DIGNE LES BAINS CEDEX","04070"
"04017","DIGNE LES BAINS CEDEX","04070"
"04101","MANOSQUE CEDEX","04112"
"04102","MANOSQUE CEDEX","04112"
"04103","MANOSQUE CEDEX","04112"
"04104","MANOSQUE CEDEX","04112"
"04105","MANOSQUE CEDEX","04112"
"04106","MANOSQUE CEDEX","04112"
"04107","MANOSQUE CEDEX","04112"
"04140","SELONNET","04203"
"04200","SISTERON","04209"
"04201","SISTERON CEDEX","04209"
"04202","SISTERON CEDEX","04209"
"04203","SISTERON CEDEX","04209"
"04301","FORCALQUIER CEDEX","04088"
"04990","DIGNE LES BAINS CEDEX 9","04070"
"04995","DIGNE LES BAINS CEDEX 9","04070"
"05000","GAP","05061"
"05001","GAP CEDEX","05061"
"05002","GAP CEDEX","05061"
"05003","GAP CEDEX","05061"
"05004","GAP CEDEX","05061"
"05005","GAP CEDEX","05061"
"05006","GAP CEDEX","05061"
"05007","GAP CEDEX","05061"
"05007","GAP CEDEX","05124"
"05008","GAP CEDEX","05061"
"05010","GAP CEDEX","05061"
"05011","GAP CEDEX","05061"
"05012","GAP CEDEX","05061"
"05014","GAP CEDEX","05061"
"05015","GAP CEDEX","05061"
"05016","GAP CEDEX","05061"
"05100","BRIANCON","05023"
"05101","BRIANCON CEDEX","05023"
"05101","BRIANCON CEDEX","05093"
"05102","BRIANCON CEDEX","05023"
"05103","BRIANCON CEDEX","05023"
"05105","BRIANCON CEDEX","05023"
"05105","BRIANCON CEDEX","05107"
"05105","BRIANCON CEDEX","05161"
"05106","BRIANCON CEDEX","05023"
"05107","BRIANCON CEDEX","05023"
"05201","EMBRUN CEDEX","05046"
"05202","EMBRUN CEDEX","05046"
"05208","EMBRUN CEDEX","05046"
"05220","LE MONETIER LES BAINS","06088"
"05560","VARS","05177"
"06000","NICE","06088"
"06001","NICE CEDEX 1","06088"
"06002","NICE CEDEX 1","06088"
"06003","NICE CEDEX 1","06088"
"06004","NICE CEDEX 1","06088"
"06005","NICE CEDEX 1","06088"
"06006","NICE CEDEX 1","06088"
"06007","NICE CEDEX 1","06088"
"06008","NICE CEDEX 1","06088"
"06009","NICE CEDEX 1","06088"
"06010","NICE CEDEX 1","06088"
"06011","NICE CEDEX 1","06088"
"06012","NICE CEDEX 1","06088"
"06013","NICE CEDEX 1","06088"
"06016","NICE CEDEX 1","06088"
"06021","NICE CEDEX 1","06088"
"06026","NICE CEDEX 1","06088"
"06033","NICE CEDEX 1","06088"
"06034","NICE CEDEX 1","06088"
"06036","NICE CEDEX 1","06088"
"06037","NICE CEDEX 1","06088"
"06039","NICE CEDEX 1","06088"
"06040","NICE CEDEX 1","06088"
"06041","NICE CEDEX 1","06088"
"06042","NICE CEDEX","06088"
"06045","NICE CEDEX 1","06088"
"06046","NICE CEDEX 1","06088"
"06047","NICE CEDEX 1","06088"
"06048","NICE CEDEX 1","06088"
"06049","NICE CEDEX 1","06088"
"06050","NICE CEDEX 1","06088"
"06054","NICE CEDEX 1","06088"
"06056","NICE CEDEX","06088"
"06058","NICE CEDEX 1","06088"
"06073","NICE CEDEX 1","06088"
"06081","NICE CEDEX 1","06088"
"06082","NICE CEDEX 1","06088"
"06083","NICE CEDEX 1","06088"
"06100","NICE","06088"
"06101","NICE CEDEX 2","06088"
"06102","NICE CEDEX 2","06088"
"06103","NICE CEDEX 2","06088"
"06105","NICE CEDEX 2","06088"
"06106","NICE CEDEX 2","06088"
"06107","NICE CEDEX 2","06088"
"06108","NICE CEDEX 2","06088"
"06110","LE CANNET","06030"
"06111","LE CANNET CEDEX","06030"
"06113","LE CANNET CEDEX","06030"
"06114","LE CANNET CEDEX","06030"
"06115","LE CANNET CEDEX","06030"
"06116","LE CANNET CEDEX","06030"
"06117","LE CANNET CEDEX","06030"
"06121","LE CANNET CEDEX","06030"
"06130","GRASSE","06069"
"06131","GRASSE CEDEX","06069"
"06133","GRASSE CEDEX","06069"
"06135","GRASSE CEDEX","06069"
"06140","VENCE","06157"
"06141","VENCE CEDEX","06157"
"06142","VENCE CEDEX","06157"
"06143","VENCE CEDEX","06157"
"06150","CANNES","06029"
"06151","CANNES LA BOCCA CEDEX","06029"
"06152","CANNES LA BOCCA CEDEX","06029"
"06153","CANNES LA BOCCA CEDEX","06029"
"06156","CANNES LA BOCCA CEDEX","06029"
"06160","ANTIBES","06004"
"06161","JUAN LES PINS CEDEX","06004"
"06162","JUAN LES PINS CEDEX","06004"
"06164","JUAN LES PINS CEDEX","06004"
"06172","NICE CEDEX 2","06088"
"06175","NICE CEDEX 2","06088"
"06180","NICE CEDEX 2","06088"
"06181","NICE CEDEX 2","06088"
"06182","NICE CEDEX 2","06088"
"06188","NICE CEDEX 2","06088"
"06189","NICE CEDEX 2","06088"
"06200","NICE","06088"
"06201","NICE CEDEX 3","06088"
"06202","NICE CEDEX 3","06088"
"06203","NICE CEDEX 3","06088"
"06204","NICE CEDEX 3","06088"
"06205","NICE CEDEX 3","06088"
"06206","NICE CEDEX 3","06088"
"06210","MANDELIEU LA NAPOULE","06079"
"06211","MANDELIEU CEDEX","06079"
"06211","MANDELIEU CEDEX","13099"
"06212","MANDELIEU CEDEX","06079"
"06213","MANDELIEU CEDEX","06079"
"06220","VALLAURIS","06155"
"06224","VALLAURIS CEDEX","06155"
"06225","VALLAURIS CEDEX","06155"
"06227","VALLAURIS CEDEX","06155"
"06231","VILLEFRANCHE SUR MER CEDEX","06159"
"06251","MOUGINS CEDEX","06085"
"06252","MOUGINS CEDEX","06085"
"06253","MOUGINS CEDEX","06085"
"06254","MOUGINS CEDEX","06085"
"06255","MOUGINS CEDEX","06085"
"06271","VILLENEUVE LOUBET CEDEX","06161"
"06272","VILLENEUVE LOUBET CEDEX","06161"
"06281","NICE CEDEX 3","06088"
"06282","NICE CEDEX 3","06088"
"06284","NICE CEDEX 3","06088"
"06284","NICE CEDEX 3","99138"
"06285","NICE CEDEX 3","06088"
"06286","NICE CEDEX 3","06088"
"06289","NICE CEDEX 3","06088"
"06290","NICE CEDEX 3","06088"
"06291","NICE CEDEX 3","06088"
"06293","NICE CEDEX 3","06088"
"06295","NICE CEDEX 3","06088"
"06296","NICE CEDEX 3","06088"
"06299","NICE CEDEX 3","06004"
"06299"," NICE CEDEX 3","06088"
"06299","NICE CEDEX 3","06088"
"06300","NICE","06088"
"06301","NICE CEDEX 4","06088"
"06302","NICE CEDEX 4","06088"
"06303","NICE CEDEX 4","06088"
"06304","NICE CEDEX 4","06088"
"06305","NICE CEDEX 4","06088"
"06306","NICE CEDEX 4","06088"
"06309","NICE CEDEX 4","06088"
"06311","VILLEFRANCHE SUR MER CEDEX","06011"
"06322","CANNES LA BOCCA CEDEX","06029"
"06330","ROQUEFORT LES PINS","06105"
"06331","GRASSE CEDEX","06069"
"06332","GRASSE CEDEX","06069"
"06333","GRASSE CEDEX","06069"
"06334","GRASSE CEDEX","06069"
"06335","GRASSE CEDEX","06069"
"06340","LA TRINITE","06149"
"06341","LA TRINITE CEDEX","06149"
"06342","LA TRINITE CEDEX","06149"
"06345","LA TRINITE CEDEX","06149"
"06348","LA TRINITE CEDEX","06031"
"06348","LA TRINITE CEDEX","06054"
"06353","NICE CEDEX 4","06088"
"06357","NICE CEDEX 4","06088"
"06358","NICE CEDEX 4","06088"
"06359","NICE CEDEX 4","06088"
"06364","NICE CEDEX 4","06088"
"06371","MOUANS SARTOUX CEDEX","06084"
"06371","MOUANS SARTOUX CEDEX","06108"
"06372","MOUANS SARTOUX CEDEX","06084"
"06391","CONTES CEDEX","06048"
"06392","CONTES CEDEX","06039"
"06392","CONTES CEDEX","06048"
"06400","CANNES","06029"
"06401","CANNES CEDEX","06029"
"06402","CANNES CEDEX","06029"
"06403","CANNES CEDEX","06029"
"06404","CANNES CEDEX","06029"
"06405","CANNES CEDEX","06029"
"06406","CANNES CEDEX","06029"
"06407","CANNES CEDEX","06029"
"06408","CANNES CEDEX","06029"
"06410","BIOT","06018"
"06414","CANNES CEDEX","06029"
"06420","LA TOUR","06144"
"06480","LA COLLE SUR LOUP","06044"
"06500","GORBIO","06067"
"06500","MENTON","06083"
"06501","MENTON CEDEX","06083"
"06502","MENTON CEDEX","06083"
"06503","MENTON CEDEX","06083"
"06504","MENTON CEDEX","06083"
"06506","MENTON CEDEX","06083"
"06507","MENTON CEDEX","06083"
"06510","CARROS","06033"
"06510","LE BROC","06025"
"06511","CARROS CEDEX","06033"
"06513","CARROS CEDEX","06033"
"06514","CARROS CEDEX","06033"
"06515","CARROS CEDEX","06033"
"06516","CARROS CEDEX","06033"
"06517","CARROS CEDEX","06025"
"06517","CARROS CEDEX","06033"
"06531","PEYMEINADE CEDEX","06095"
"06532","PEYMEINADE CEDEX","06095"
"06532","PEYMEINADE CEDEX","06140"
"06535","PEYMEINADE CEDEX","06118"
"06560","VALBONNE","06152"
"06561","VALBONNE CEDEX","06152"
"06600","ANTIBES","06004"
"06601","ANTIBES CEDEX","06004"
"06602","ANTIBES CEDEX","06004"
"06603","ANTIBES CEDEX","06004"
"06605","ANTIBES CEDEX","06004"
"06606","ANTIBES CEDEX","06004"
"06631","ANTIBES CEDEX","06004"
"06632","ANTIBES CEDEX","06004"
"06633","ANTIBES CEDEX","06004"
"06666","NICE CEDEX 9","06088"
"06701","ST LAURENT DU VAR CEDEX","06123"
"06702","ST LAURENT DU VAR CEDEX","06123"
"06703","ST LAURENT DU VAR CEDEX","06123"
"06704","ST LAURENT DU VAR CEDEX","06123"
"06706","ST LAURENT DU VAR CEDEX","06123"
"06708","ST LAURENT DU VAR CEDEX","06123"
"06709","ST LAURENT DU VAR CEDEX","06123"
"06721","SAINT LAURENT DU VAR CEDEX","06123"
"06721","ST LAURENT DU VAR CEDEX","06123"
"06800","CAGNES SUR MER","06027"
"06801","CAGNES SUR MER CEDEX","06027"
"06802","CAGNES SUR MER CEDEX","06027"
"06803","CAGNES SUR MER CEDEX","06027"
"06804","CAGNES SUR MER CEDEX","06027"
"06804","CAGNES SUR MER CEDEX","06123"
"06805","CAGNES SUR MER CEDEX","06027"
"06808","CAGNES SUR MER CEDEX","06027"
"06901","SOPHIA ANTIPOLIS CEDEX","06004"
"06901","SOPHIA ANTIPOLIS CEDEX","06018"
"06901","SOPHIA ANTIPOLIS CEDEX","06152"
"06902","SOPHIA ANTIPOLIS CEDEX","06018"
"06902","SOPHIA ANTIPOLIS CEDEX","06152"
"06902","SOPHIA ANTIPOLIS CEDEX","06155"
